HeatCapacityMolar_composition_average,NdValence_max_value,GSenergy_pa_composition_average,HeatCapacityMolar_arithmetic_average,BCCvolume_pa_arithmetic_average,AtomicRadii_max_value,BCCefflatcnt_arithmetic_average,IonicRadii_composition_average,phi_composition_average,ElectricalConductivity_composition_average,IsBoron_arithmetic_average,ElasticModulus_difference,BCCvolume_padiff_composition_average,ICSDVolume_composition_average,NpUnfilled_arithmetic_average,ThermalExpansionCoefficient_max_value,MeltingT_min_value,GSmagmom_composition_average,AtomicWeight_arithmetic_average,ElectronAffinity_composition_average,IsHexagonal_composition_average,ICSDVolume_arithmetic_average,GSestBCClatcnt_arithmetic_average,GSvolume_pa_max_value,ThermalConductivity_composition_average
26.636,10.0,-4.582856970668002,26.65333333333333,22.026666666666664,1.766,6.914156373,0.8440000000000001,4.148,6.96,0.3333333333333333,194.0,0.2726666668,21.980000000000004,1.6666666666666667,32.1,429.75,0.23815788,112.81390666666664,70.2,0.4,22.66666666666667,3.445631928666667,30.7333333333,59.08
26.2365,10.0,-4.1991690475,26.2365,28.82,1.8769999999999998,7.645652881,0.83,1.585,4.95,0.0,30.0,-2.58875,33.6,1.0,45.0,494.0,0.0,108.932735,122.48,1.0,33.6,3.9615675164999997,36.8975,7.77
25.07333333333333,5.0,-6.358233650669999,25.07333333333333,19.08,1.7819999999999998,6.563239899666666,0.7033333333333334,4.12,0.4668,0.0,141.0,-1.8080842913333333,21.366666666666667,1.3333333333333333,21.7,1519.0,0.00010337356321833333,80.64963166666666,61.2,0.3333333333333333,21.366666666666667,3.397227956,31.7366666667,55.64000000000001
30.523000000000003,0.0,-2.0929586125,30.523000000000003,60.46,2.67,7.974904496500001,1.64,3.575,2.65,0.0,0.0,-0.73,49.75,0.0,100.0,14.01,0.0,66.95669595,59.145,0.5,49.75,4.252801001,115.765,18.04075
25.069000000000003,10.0,-3.363100125,24.971,17.763333333333332,1.444,6.5680748026666675,0.6725,2.1375,29.15,0.3333333333333333,60.0,-2.7975,23.3,2.333333333333333,45.0,494.0,0.0,71.26991286666666,140.155,0.5,21.133333333333333,3.377132448666667,25.92,167.52
26.70666666666667,10.0,-4.628118202223334,26.70666666666667,24.559999999999995,1.7819999999999998,7.239432343666668,0.86,4.3533333333333335,4.5,0.0,70.0,-1.342222222333333,25.6,1.0,11.8,903.78,0.0,129.03511666666668,70.33333333333333,0.3333333333333333,25.6,3.678842214666667,31.7366666667,35.73333333333333
24.87066666666667,10.0,-4.316842076666667,24.87066666666667,22.62,1.81,7.054313099,0.77,3.533333333333333,4.500001,0.0,105.0,-1.3677777776666664,25.566666666666666,1.3333333333333333,46.0,453.69,0.0,56.16228333333334,59.93333333333334,0.3333333333333333,25.566666666666666,3.604009735,32.365,53.93333333333334
24.23,10.0,-3.83783313125,24.23,16.94333333333333,1.444,6.466671627333334,0.6733333333333333,3.05,22.23333333333333,0.0,61.0,-4.487291666666667,21.4,1.6666666666666663,70.0,388.36,0.0,71.61826666666667,134.3733333333333,0.0,21.4,3.4861498190000004,25.786875,159.75633333333332
23.566666666666666,8.0,-7.54428762,23.566666666666666,16.80666666666667,1.564,6.4237946610000005,0.5866666666666667,4.566666666666666,8.800133333333337,0.0,191.0,-1.9533333333333331,17.966666666666665,1.3333333333333333,8.2,1687.0,0.0,103.16033333333334,84.53333333333333,0.3333333333333333,17.966666666666665,3.3320662236666667,22.2,107.0
26.906666666666666,10.0,-4.419648461666666,26.906666666666666,23.39333333333333,1.757,7.141401159999999,0.8099999999999999,4.256666666666667,4.666666666666666,0.3333333333333333,161.0,0.105,23.933333333333334,1.6666666666666667,32.1,429.75,0.0,159.0536666666667,94.76666666666668,0.3333333333333333,23.933333333333334,3.565360419666667,30.585,55.83333333333333
24.67466666666667,7.0,-7.6991773141666675,24.462000000000003,14.395,1.357,6.129584297499999,0.4766666666666667,5.55,14.2,0.0,528.0,-2.523412698333334,15.5,1.5,127.0,317.3,0.0,111.595381,123.9,0.0,16.35,3.3061436320000004,22.5702380952,98.07833333333332
25.25,8.0,-4.87544264625,25.6,19.926666666666673,1.81,6.666958831666667,0.6975,4.2,22.95,0.3333333333333333,143.6,0.26375,19.225,1.6666666666666667,23.1,933.47,0.148848675,58.19359620000001,50.25,0.25,20.1,3.3214855489999997,32.365,145.47500000000005
25.639111111111113,10.0,-4.891746226666667,25.6115,17.62,1.4,6.541672911,0.5722222222222222,3.138888888888889,8.777777777777779,0.0,155.0,-2.5277777777777777,21.63333333333333,1.0,45.0,494.0,0.0,137.02200000000002,200.70444444444442,0.4444444444444444,22.45,3.4186459460000003,25.92,40.68444444444445
26.735,10.0,-3.6645136525,26.735,23.44,1.757,7.1322016355,1.075,3.785,32.05,0.0,7.0,-0.0175,23.8,0.0,18.9,1234.93,0.0,137.5636,87.85,0.5,23.8,3.5683155765,30.585,221.65
24.7636,10.0,-2.904203566,24.607,14.16,1.3319999999999999,6.096226278,0.512,4.68,10.14,0.0,90.0,-3.2440952380000003,16.619999999999994,1.5,127.0,317.3,0.0,48.176881,28.68,0.6,17.0,3.29714243,22.5702380952,69.69399999999999
26.695,10.0,-4.20012710375,26.82,29.6,1.798,7.783634151999999,1.3875000000000002,3.675,6.1625,0.5,61.0,-0.19500000000000006,30.1125,2.5,29.9,577.0,0.0,218.21067999999997,18.75,0.625,30.65,3.8954581825,32.37,49.0625
24.414666666666665,7.0,-7.713700389166667,24.414666666666665,16.939999999999998,1.6,6.4321330880000005,0.5433333333333332,4.8,5.7333333333333325,0.0,425.0,-2.8184126983333337,18.7,1.0,127.0,317.3,0.0,74.42258733333333,77.23333333333333,0.6666666666666666,18.7,3.384825529,23.195,46.645
24.96333333333333,10.0,-2.5869253133333334,24.96333333333333,16.56,1.55,6.412573632333333,0.6933333333333334,3.916666666666666,10.8,0.0,85.0,-1.0161111109999998,19.4,1.0,46.0,453.69,0.0,49.08086666666666,45.6,0.3333333333333333,19.4,3.2623164860000005,22.175,83.56666666666666
25.263333333333332,10.0,-4.134383010556666,25.263333333333332,22.29,1.766,7.030105208999999,0.8,4.306666666666667,16.633334333333334,0.0,43.0,-1.1894444443333332,23.4,1.3333333333333333,14.2,1211.4,0.0,144.84562966666667,130.91333333333333,0.3333333333333333,23.4,3.5834198880000003,30.7333333333,131.03333333333333
16.9985,5.0,-10.81337071,16.9985,10.7,1.37,5.4566922485000005,0.34500000000000003,5.7200000000000015,2.935,0.0,454.0,0.5525,10.15,2.0,6.2,3459.0,0.0,99.10885,68.15,1.0,10.15,2.6629588625,14.655,23.95
25.51933333333333,10.0,-2.5085629133333334,25.3145,32.370000000000005,1.97,8.013732482,1.0633333333333332,3.0666666666666664,22.46666666666667,0.0,1.0,-0.6966666666666667,39.5,2.0,28.8,600.61,0.0,123.639,-67.33333333333334,0.0,37.2,4.0290631005,37.77,145.10000000000005
27.9195,2.0,-6.7230908087499985,27.518,31.10666666666667,2.22,7.337841667999999,1.42,4.8725,1.275,0.0,81.0,-4.005625,32.8,1.0,240.0,63.05,0.0,80.85256666666666,-4.0,0.75,36.2,3.904408907,63.59,10.287989999999999
24.49333333333333,5.0,-10.079391365,24.71,19.22,1.6,6.724182799499999,0.6733333333333333,4.25,12.3,0.0,228.0,-0.14833333333333334,18.066666666666666,0.0,5.7,2128.0,0.0,93.59200000000001,80.66666666666667,0.3333333333333333,19.35,3.3736548505,23.195,99.56666666666666
25.365,10.0,-6.2782661525000005,25.55,15.2,1.66,6.1255998353333325,0.6625000000000001,4.7574999999999985,12.6,0.3333333333333333,197.0,0.14,15.0,1.6666666666666667,32.1,429.75,1.3019013000000002,76.53206499999997,48.25,0.5,16.3,3.054215951333333,24.26,90.45
25.185,10.0,-7.302594225,25.185,20.44,1.564,6.885946000500001,0.705,4.2,3.6,0.0,100.0,-1.7475,21.95,1.5,15.4,1090.0,0.0,126.7058,38.5,0.5,21.95,3.5403492505000003,22.2,36.5
23.964000000000002,9.0,-5.494097823000001,24.656666666666666,20.12,1.757,6.757567164333332,0.556,4.784000000000002,4.00016,0.0,102.0,-2.293,20.16,1.3333333333333333,9.4,1687.0,0.0,130.14283333333333,145.56,0.2,21.9,3.497871123666666,30.585,90.7
28.0715,10.0,-2.4258300078720003,28.0715,26.77,1.7730000000000001,7.514721225500001,1.025,3.705,1.05,0.0,41.0,-1.4687931035,27.700000000000006,0.0,49.0,234.32,0.0,181.545,25.0,0.5,27.700000000000006,3.8318721675,31.24,9.52
23.08006896551724,8.0,-6.176678786380001,21.60733333333333,12.223333333333333,1.385,5.653533485666668,0.603103448275862,5.13103448275862,10.820689655173444,0.3333333333333333,255.0,-0.19844827586206892,10.86896551724138,1.6666666666666667,13.9,1408.0,0.4311478862068966,102.51110333333332,85.96551724137932,0.0,13.2,2.8647412163333335,20.025,73.16896551724139
